,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,,
,1º Período,,,,,,2º Período,,,,,,,
,Fundamentos Matemáticos,Construção de Algoritmos,,Física Aplicada à Ciência da Computação,Fundamentos Matemáticos,,Cálculo I,,Programação Orientada a Objetos,Estrutura de Dados I,Cálculo I,,,Nota do resultado
,Álgebra Linear,Construção de Algoritmos,Introdução à Ciência da Computação,Física Aplicada à Ciência da Computação,Laboratório de Programação,,Programação Orientada a Objetos,Análise e Projeto de Software,Programação Orientada a Objetos,Estrutura de Dados I,Banco de Dados I,,,241
,Laboratório de Programação,Álgebra Linear,,Introdução à Ciência da Computação,Laboratório de Programação,,Introdução aos Sistemas Digitais,Cálculo I,Banco de Dados I,Introdução aos Sistemas Digitais,Análise e Projeto de Software,,,
,3º Período,,,,,,4º Período,,,,,,,
,,Engenharia de Software,,Metodologia de Pesquisa Científica,Arquitetura e Organização de Computadores I,,,Lógica e Matemática Discreta,Matemática Computacional,Paradigmas de Programação,"Ética, Computadores e Sociedade",,,
,Programação Web,Engenharia de Software,Estrutura de Dados II,Interação Homem-Máquina,Arquitetura e Organização de Computadores I,,,Paradigmas de Programação,Lógica e Matemática Discreta,Matemática Computacional,"Ética, Computadores e Sociedade",,,
,Estrutura de Dados II,Programação Web,,Cálculo II,Cálculo II,,,Arquitetura e Organização de Computadores II,Rede de Computadores,Arquitetura e Organização de Computadores II,Rede de Computadores,,,
,5º Período,,,,,,6º Período,,,,,,,
,Disciplina Optativa I,Probabilidade e Estatística,Programação para Dispositivos Móveis,Probabilidade e Estatística,Processamento Digital de Imagens,,Teoria da Computação,,,Computação Gráfica,Inteligência Artificial,,,
,Teoria dos Grafos,Processamento Digital de Imagens,Sistemas Operacionais,,Teoria dos Grafos,,Projeto Avançado de Algoritmos,Otimização de Sistemas,Disciplina Optativa II,Disciplina Optativa II,Projeto Avançado de Algoritmos,,,
,Sistemas Operacionais,Probabilidade e Estatística,Disciplina Optativa I,,Programação para Dispositivos Móveis,,Otimização de Sistemas,Inteligência Artificial,,Computação Gráfica,Teoria da Computação,,,
,7º Período,,,,,,8º Período,,,,,,,
,Banco de Dados II,Gramáticas e Compiladores,Mineração de Dados,Mineração de Dados,,,Sistemas Distribuídos,Trabalho de Conclusão de Curso II,Tópicos Especiais em Computação II,Trabalho de Conclusão de Curso II,,,,
,Banco de Dados II,Trabalho de Conclusão de Curso I,Gramáticas e Compiladores,Trabalho de Conclusão de Curso I,,,Sistemas Distribuídos,Tópicos Especiais em Computação II,Tópicos Especiais em Computação I,Trabalho de Conclusão de Curso II,,,,
,Educação das Relações Étnico-Raciais e Afrodescendência,Trabalho de Conclusão de Curso I,Trabalho de Conclusão de Curso I,Mineração de Dados,,,Trabalho de Conclusão de Curso II,,Tópicos Especiais em Computação I,,,,,
