SEGUNDA,TERÇA,QUARTA,QUINTA,SEXTA,,
Fundamentos Matemáticos,Construção de Algoritmos,,Física Aplicada à Ciência da Computação,Fundamentos Matemáticos,,
Álgebra Linear,Construção de Algoritmos,Introdução à Ciência da Computação,Física Aplicada à Ciência da Computação,Laboratório de Programação,,Nota do resultado
Laboratório de Programação,Álgebra Linear,,Introdução à Ciência da Computação,Laboratório de Programação,,241
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Cálculo I,,Programação Orientada a Objetos,Estrutura de Dados I,Cálculo I,,
Programação Orientada a Objetos,Análise e Projeto de Software,Programação Orientada a Objetos,Estrutura de Dados I,Banco de Dados I,,
Introdução aos Sistemas Digitais,Cálculo I,Banco de Dados I,Introdução aos Sistemas Digitais,Análise e Projeto de Software,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Engenharia de Software,,Metodologia de Pesquisa Científica,Arquitetura e Organização de Computadores I,,
Programação Web,Engenharia de Software,Estrutura de Dados II,Interação Homem-Máquina,Arquitetura e Organização de Computadores I,,
Estrutura de Dados II,Programação Web,,Cálculo II,Cálculo II,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Lógica e Matemática Discreta,Matemática Computacional,Paradigmas de Programação,"Ética, Computadores e Sociedade",,
,Paradigmas de Programação,Lógica e Matemática Discreta,Matemática Computacional,"Ética, Computadores e Sociedade",,
,Arquitetura e Organização de Computadores II,Rede de Computadores,Arquitetura e Organização de Computadores II,Rede de Computadores,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Disciplina Optativa I,Probabilidade e Estatística,Programação para Dispositivos Móveis,Probabilidade e Estatística,Processamento Digital de Imagens,,
Teoria dos Grafos,Processamento Digital de Imagens,Sistemas Operacionais,,Teoria dos Grafos,,
Sistemas Operacionais,Probabilidade e Estatística,Disciplina Optativa I,,Programação para Dispositivos Móveis,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Teoria da Computação,,,Computação Gráfica,Inteligência Artificial,,
Projeto Avançado de Algoritmos,Otimização de Sistemas,Disciplina Optativa II,Disciplina Optativa II,Projeto Avançado de Algoritmos,,
Otimização de Sistemas,Inteligência Artificial,,Computação Gráfica,Teoria da Computação,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Banco de Dados II,Gramáticas e Compiladores,Mineração de Dados,Mineração de Dados,,,
Banco de Dados II,Trabalho de Conclusão de Curso I,Gramáticas e Compiladores,Trabalho de Conclusão de Curso I,,,
Educação das Relações Étnico-Raciais e Afrodescendência,Trabalho de Conclusão de Curso I,Trabalho de Conclusão de Curso I,Mineração de Dados,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Sistemas Distribuídos,Trabalho de Conclusão de Curso II,Tópicos Especiais em Computação II,Trabalho de Conclusão de Curso II,,,
Sistemas Distribuídos,Tópicos Especiais em Computação II,Tópicos Especiais em Computação I,Trabalho de Conclusão de Curso II,,,
Trabalho de Conclusão de Curso II,,Tópicos Especiais em Computação I,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
